SLNO,FIPS,NAME
2,1001,"Autauga, AL"
3,1003,"Baldwin, AL"
4,1005,"Barbour, AL"
5,1007,"Bibb, AL"
6,1009,"Blount, AL"
7,1011,"Bullock, AL"
8,1013,"Butler, AL"
9,1015,"Calhoun, AL"
10,1017,"Chambers, AL"
11,1019,"Cherokee, AL"
12,1021,"Chilton, AL"
13,1023,"Choctaw, AL"
14,1025,"Clarke, AL"
15,1027,"Clay, AL"
16,1029,"Cleburne, AL"
17,1031,"Coffee, AL"
18,1033,"Colbert, AL"
19,1035,"Conecuh, AL"
20,1037,"Coosa, AL"
21,1039,"Covington, AL"
22,1041,"Crenshaw, AL"
23,1043,"Cullman, AL"
24,1045,"Dale, AL"
25,1047,"Dallas, AL"
26,1049,"DeKalb, AL"
27,1051,"Elmore, AL"
28,1053,"Escambia, AL"
29,1055,"Etowah, AL"
30,1057,"Fayette, AL"
31,1059,"Franklin, AL"
32,1061,"Geneva, AL"
33,1063,"Greene, AL"
34,1065,"Hale, AL"
35,1067,"Henry, AL"
36,1069,"Houston, AL"
37,1071,"Jackson, AL"
38,1073,"Jefferson, AL"
39,1075,"Lamar, AL"
40,1077,"Lauderdale, AL"
41,1079,"Lawrence, AL"
42,1081,"Lee, AL"
43,1083,"Limestone, AL"
44,1085,"Lowndes, AL"
45,1087,"Macon, AL"
46,1089,"Madison, AL"
47,1091,"Marengo, AL"
48,1093,"Marion, AL"
49,1095,"Marshall, AL"
50,1097,"Mobile, AL"
51,1099,"Monroe, AL"
52,1101,"Montgomery, AL"
53,1103,"Morgan, AL"
54,1105,"Perry, AL"
55,1107,"Pickens, AL"
56,1109,"Pike, AL"
57,1111,"Randolph, AL"
58,1113,"Russell, AL"
59,1115,"St. Clair, AL"
60,1117,"Shelby, AL"
61,1119,"Sumter, AL"
62,1121,"Talladega, AL"
63,1123,"Tallapoosa, AL"
64,1125,"Tuscaloosa, AL"
65,1127,"Walker, AL"
66,1129,"Washington, AL"
67,1131,"Wilcox, AL"
68,1133,"Winston, AL"
70,2013,"Aleutians East, AK"
71,2016,"Aleutians West, AK"
72,2020,"Anchorage, AK"
73,2050,"Bethel, AK"
74,2060,"Bristol Bay, AK"
75,2068,"Denali, AK"
76,2070,"Dillingham, AK"
77,2090,"Fairbanks North Star, AK"
78,2100,"Haines, AK"
79,2105,"Hoonah-Angoon, AK"
80,2110,"Juneau, AK"
81,2122,"Kenai Peninsula, AK"
82,2130,"Ketchikan Gateway, AK"
83,2150,"Kodiak Island, AK"
84,2164,"Lake and Peninsula, AK"
85,2170,"Matanuska-Susitna, AK"
86,2180,"Nome, AK"
87,2185,"North Slope, AK"
88,2188,"Northwest Arctic, AK"
89,2195,"Petersburg, AK"
90,2198,"Prince of Wales-Hyder, AK"
91,2220,"Sitka, AK"
92,2230,"Skagway, AK"
93,2240,"Southeast Fairbanks, AK"
94,2261,"Valdez-Cordova, AK"
95,2270,"Wade Hampton, AK"
96,2275,"Wrangell, AK"
97,2282,"Yakutat, AK"
98,2290,"Yukon-Koyukuk, AK"
100,4001,"Apache, AZ"
101,4003,"Cochise, AZ"
102,4005,"Coconino, AZ"
103,4007,"Gila, AZ"
104,4009,"Graham, AZ"
105,4011,"Greenlee, AZ"
106,4012,"La Paz, AZ"
107,4013,"Maricopa, AZ"
108,4015,"Mohave, AZ"
109,4017,"Navajo, AZ"
110,4019,"Pima, AZ"
111,4021,"Pinal, AZ"
112,4023,"Santa Cruz, AZ"
113,4025,"Yavapai, AZ"
114,4027,"Yuma, AZ"
116,5001,"Arkansas, AR"
117,5003,"Ashley, AR"
118,5005,"Baxter, AR"
119,5007,"Benton, AR"
120,5009,"Boone, AR"
